data_type,year,plot_id,value,value_si,lab_year,lab_year_abbr,lab_type,subset,statistic
dl,2016,RxF01,0.875,2.2225,1 Year pre-fire (2016),1-y pre-fire (2016),Duff & litter,yr_plot,total
dl,2016,RxF02,1.96875,5.000624999999999,1 Year pre-fire (2016),1-y pre-fire (2016),Duff & litter,yr_plot,total
dl,2016,RxF03,1.5,3.8100000000000005,1 Year pre-fire (2016),1-y pre-fire (2016),Duff & litter,yr_plot,total
dl,2016,RxF04,1.3125,3.33375,1 Year pre-fire (2016),1-y pre-fire (2016),Duff & litter,yr_plot,total
dl,2016,RxF05,0.8125,2.0637499999999998,1 Year pre-fire (2016),1-y pre-fire (2016),Duff & litter,yr_plot,total
dl,2016,RxF06,1.50625,3.8258750000000004,1 Year pre-fire (2016),1-y pre-fire (2016),Duff & litter,yr_plot,total
dl,2016,RxF07,2.3125,5.873750000000001,1 Year pre-fire (2016),1-y pre-fire (2016),Duff & litter,yr_plot,total
dl,2016,RxF08,1.71875,4.365625,1 Year pre-fire (2016),1-y pre-fire (2016),Duff & litter,yr_plot,total
dl,2016,RxF09,2,5.08,1 Year pre-fire (2016),1-y pre-fire (2016),Duff & litter,yr_plot,total
dl,2017,RxF01,0.3375,0.85725,0 Years post-fire (2017),0-y post-fire (2017),Duff & litter,yr_plot,total
dl,2017,RxF02,0.48125,1.222375,0 Years post-fire (2017),0-y post-fire (2017),Duff & litter,yr_plot,total
dl,2017,RxF03,0.86875,2.206625,0 Years post-fire (2017),0-y post-fire (2017),Duff & litter,yr_plot,total
dl,2017,RxF04,0.34375,0.873125,0 Years post-fire (2017),0-y post-fire (2017),Duff & litter,yr_plot,total
dl,2017,RxF05,0.1875,0.47625000000000006,0 Years post-fire (2017),0-y post-fire (2017),Duff & litter,yr_plot,total
dl,2017,RxF06,0.25625,0.6508750000000001,0 Years post-fire (2017),0-y post-fire (2017),Duff & litter,yr_plot,total
dl,2017,RxF07,0.35625,0.904875,0 Years post-fire (2017),0-y post-fire (2017),Duff & litter,yr_plot,total
dl,2017,RxF08,0.20625000000000002,0.5238750000000001,0 Years post-fire (2017),0-y post-fire (2017),Duff & litter,yr_plot,total
dl,2017,RxF09,0.24375,0.619125,0 Years post-fire (2017),0-y post-fire (2017),Duff & litter,yr_plot,total
dl,2019,RxF01,0.75625,1.920875,2 Years post-fire (2019),2-y post-fire (2019),Duff & litter,yr_plot,total
dl,2019,RxF02,1.66875,4.238625,2 Years post-fire (2019),2-y post-fire (2019),Duff & litter,yr_plot,total
dl,2019,RxF03,0.275,0.6985,2 Years post-fire (2019),2-y post-fire (2019),Duff & litter,yr_plot,total
dl,2019,RxF04,0.775,1.9685000000000001,2 Years post-fire (2019),2-y post-fire (2019),Duff & litter,yr_plot,total
dl,2019,RxF05,1.2,3.048,2 Years post-fire (2019),2-y post-fire (2019),Duff & litter,yr_plot,total
dl,2019,RxF06,1.9625,4.98475,2 Years post-fire (2019),2-y post-fire (2019),Duff & litter,yr_plot,total
dl,2019,RxF07,0.85,2.159,2 Years post-fire (2019),2-y post-fire (2019),Duff & litter,yr_plot,total
dl,2019,RxF08,0.53125,1.349375,2 Years post-fire (2019),2-y post-fire (2019),Duff & litter,yr_plot,total
dl,2019,RxF09,0.35625,0.904875,2 Years post-fire (2019),2-y post-fire (2019),Duff & litter,yr_plot,total
dl,2021,RxF01,0.89375,2.270125,4 Years post-fire (2021),4-y post-fire (2021),Duff & litter,yr_plot,total
dl,2021,RxF02,0.3625,0.92075,4 Years post-fire (2021),4-y post-fire (2021),Duff & litter,yr_plot,total
dl,2021,RxF03,0.225,0.5715,4 Years post-fire (2021),4-y post-fire (2021),Duff & litter,yr_plot,total
dl,2021,RxF04,0.71875,1.825625,4 Years post-fire (2021),4-y post-fire (2021),Duff & litter,yr_plot,total
dl,2021,RxF05,0.2,0.508,4 Years post-fire (2021),4-y post-fire (2021),Duff & litter,yr_plot,total
dl,2021,RxF06,0.26875,0.682625,4 Years post-fire (2021),4-y post-fire (2021),Duff & litter,yr_plot,total
dl,2021,RxF07,0.6125,1.55575,4 Years post-fire (2021),4-y post-fire (2021),Duff & litter,yr_plot,total
dl,2021,RxF08,0.6062500000000001,1.539875,4 Years post-fire (2021),4-y post-fire (2021),Duff & litter,yr_plot,total
dl,2021,RxF09,0.28125,0.714375,4 Years post-fire (2021),4-y post-fire (2021),Duff & litter,yr_plot,total
wd,2016,RxF01,1.1962967901829955,2.682097403590276,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris,yr_plot,total
wd,2016,RxF02,1.456424513691641,3.2653037596966588,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris,yr_plot,total
wd,2016,RxF03,1.0294103591449404,2.307938025202956,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris,yr_plot,total
wd,2016,RxF04,3.5112715763351057,7.8722708741433065,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris,yr_plot,total
wd,2016,RxF05,0.9535874415015524,2.13794304384648,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris,yr_plot,total
wd,2016,RxF06,4.222417180438854,9.466659318543911,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris,yr_plot,total
wd,2016,RxF07,3.9992327809006762,8.966279894779316,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris,yr_plot,total
wd,2016,RxF08,1.6308282286749929,3.656316888689334,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris,yr_plot,total
wd,2016,RxF09,1.4070404466930169,3.154584681485744,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris,yr_plot,total
wd,2017,RxF01,10.187986002091217,22.84146461668851,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris,yr_plot,total
wd,2017,RxF02,0.15020083903707912,0.33675028112113137,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris,yr_plot,total
wd,2017,RxF03,1.329736286261961,2.9812687537993168,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris,yr_plot,total
wd,2017,RxF04,0.07347918381701556,0.16474033011774886,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris,yr_plot,total
wd,2017,RxF05,0.008409583046841647,0.01885428519101897,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris,yr_plot,total
wd,2017,RxF06,0.7730662996510463,1.7332146438176457,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris,yr_plot,total
wd,2017,RxF07,5.069333863179666,11.365446521248812,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris,yr_plot,total
wd,2017,RxF08,5.796794054970096,12.996412271242955,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris,yr_plot,total
wd,2017,RxF09,0.005361524254384823,0.012020537378330773,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris,yr_plot,total
wd,2019,RxF01,9.972178999162397,22.357625316122093,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF02,0.2402410072411532,0.5386203382346655,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF03,1.3427016780174366,3.010337162115093,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF04,0.6973561300929687,1.5634724436684357,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF05,0.029964674760777327,0.06718080081366276,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF06,1.1126414579476156,2.4945421487185544,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF07,3.0071452013887705,6.742019541513624,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF08,3.1511410246117713,7.064858177179591,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF09,0.01866479656905333,0.041846473907817566,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2021,RxF01,1.8867206918301445,4.230027791083184,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF02,0.13159580497323223,0.2950377947499866,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF03,3.4341209869047558,7.699299252640463,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF04,1.4393314643475037,3.2269811430671034,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF05,0.9567289896764175,2.144986394854528,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF06,0.3616664502493755,0.8108561814590999,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF07,4.429502142634917,9.930943803787482,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF08,0.4102654701500061,0.9198151840763137,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF09,0.3611280114851701,0.8096490017497513,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
